Name;Origin;PartOfHistory;Version;Domain;Format;Extension;Year;Keywords;Hierarchy;Source;Publication;Path;DescribingPath;NumberOfFeatures;NumberOfLeafFeatures;NumberOfTopFeatures;Number_Constraints;AverageConstraintSize;CtcDensity;FeaturesInConstraintsDensity;TreeDepth;AverageNumberOfChildren;NumberOfAlternatives;NumberOfOrs;NumberOfClauses;NumberOfLiterals;NumberOfUnitClauses;NumberOfTwoClauses;ClauseDensity;NumberOfTautologies;NumberOfRedundantConstraints;ConnectivityDensity;Void;Number_CORE;Number_Dead;RatioOptionalFeatures;NumberOfFalseOptionalFeatures;NumberOfOptionalFeatures;NumberOfValidConfigurationsLog;SimpleCyclomaticComplexity;IndependentCyclomaticComplexity
automotive01;Kowal2016;False;;automotive;FeatureIDE;xml;2016;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/FeatureIDE/FeatureIDE;https://doi.org/10.1145/3093335.2993248;feature_models/original/automotive/automotive01/Kowal2016.xml;automotive/automotive01/Kowal2016;2513.0;1805.0;6.0;2833;2;1.12733784321528;0.509351372861122;13;3.54802259887006;374;40;10311;21765;1;9896;0.473742246726396;0;869;9618;1;100;195;0.882610425785913;90;2218;211;7106;6185
automotive2;Knüppel2017;True;2_1;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_1.xml;automotive/automotive2/Knüppel2017-2_1;14010.0;12615.0;3.0;666;2.1021021021021;0.0475374732334047;0.0574589578872234;11;10.04229390681;1010;106;237706;485470;1;236570;0.489640966486086;0;69;241821;1;1394;8;0.899928622412562;23;12608;1261;?;?
automotive2;Knüppel2017;True;2_2;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_2.xml;automotive/automotive2/Knüppel2017-2_2;17742.0;16039.0;3.0;914;2.07439824945295;0.0515161763048134;0.064930672979371;11;10.4174985320023;1198;108;342935;698969;1;341607;0.490629770419003;0;67;347302;1;1593;9;0.909705782888062;28;16140;1457;?;?
automotive2;Knüppel2017;True;2_3;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_3.xml;automotive/automotive2/Knüppel2017-2_3;18434.0;16660.0;3.0;1300;2.25692307692308;0.0705218617771509;0.0773028100249539;11;10.3906426155581;1232;109;347557;708690;1;346172;0.490421764099959;0;71;352498;1;1760;10;0.90398177281111;31;16664;1515;?;?
automotive2;Knüppel2017;True;2_4;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_4.xml;automotive/automotive2/Knüppel2017-2_4;18616.0;16828.0;3.0;1369;2.30679327976625;0.0735388912763214;0.0806295659647615;11;10.4110738255034;1232;117;350149;714004;1;348728;0.49040201455454;0;80;354753;1;1777;10;0.904007305543618;29;16829;1535;?;?
erp_system;Pereira2016;False;;business;SXFM;xml;2016;[];True;https://wwwiti.cs.uni-magdeburg.de/~jualves/PROFilE/;https://doi.org/10.1145/2993236.2993249;feature_models/original/business/erp_system/Pereira2016.xml;business/erp_system/Pereira2016;1920.0;1689.0;39.0;59044;2;30.7520833333333;0.7609375;4;8.30735930735931;0;103;61362;123910;1;61258;0.495214268420628;0;57227;74103;1;1;0;0.999479166666667;0;1919;398;?;?
multicloud;GonzálezRojas2019;False;;cloud;SXFM;xml;2019;[];True;https://github.com/governit/MultiCloud;https://doi.org/10.1007/978-3-030-33246-4_45;feature_models/original/cloud/multicloud/GonzálezRojas2019.xml;cloud/multicloud/GonzálezRojas2019;107.0;72.0;1.0;14;2.21428571428571;0.130841121495327;0.168224299065421;7;3.02857142857143;5;20;158;373;1;129;0.423592493297587;0;3;234;1;3;0;0.97196261682243;0;104;21;128;91
berkeleydb;Hierons2020;False;;database;SXFM;xml;2020;[];True;https://drive.google.com/drive/folders/1xumU6qxBesloq69jOPMbprOaiaOKDq82;https://doi.org/10.1145/3361146;feature_models/original/database/berkeleydb/Hierons2020.xml;database/berkeleydb/Hierons2020;117.0;103.0;8.0;282;2;2.41025641025641;0.829059829059829;6;8.28571428571429;2;1;417;895;1;413;0.465921787709497;0;134;2094;1;14;6;0.829059829059829;20;97;2;1978;1918
cnn-architecture;Ghamizi2019;False;full;deep_learning;FeatureIDE;xml;2019;['Manual'];True;https://github.com/yamizi/FeatureNet/;https://doi.org/10.1145/3336294.3336306;feature_models/original/deep_learning/cnn-architecture/Ghamizi2019-full.xml;deep_learning/cnn-architecture/Ghamizi2019-full;6867.0;4853.0;1.0;9;2;0.00131061598951507;0.00145623998835008;12;3.40913604766634;1250;0;17431;38211;1;16180;0.456177540498809;0;0;14775;1;1;0;0.999854376001165;0;6866;631;7909;6209
cnn-architecture;Ghamizi2019;False;light;deep_learning;FeatureIDE;xml;2019;['Manual'];True;https://github.com/yamizi/FeatureNet/;https://doi.org/10.1145/3336294.3336306;feature_models/original/deep_learning/cnn-architecture/Ghamizi2019-light.xml;deep_learning/cnn-architecture/Ghamizi2019-light;3296.0;2287.0;1.0;76;2;0.0230582524271845;0.0297330097087379;11;3.26560951437066;752;0;8004;17741;1;7251;0.451158333803055;0;0;6545;1;7;48;0.983313106796116;13;3241;186;3250;2477
e_agribusiness;Pereira2016;False;;e_commerce;SXFM;xml;2016;[];True;https://wwwiti.cs.uni-magdeburg.de/~jualves/PROFilE/;https://doi.org/10.1145/2993236.2993249;feature_models/original/e_commerce/e_agribusiness/Pereira2016.xml;e_commerce/e_agribusiness/Pereira2016;2238.0;2008.0;14.0;0;0;0;0;5;9.72608695652174;0;125;2615;7013;1;2489;0.372878939113076;0;0;119100;1;1;0;0.999553172475424;0;2237;559;?;?
e_shop;Lau2006;False;;e_commerce;SXFM;xml;2011;[];True;https://martinfjohansen.com/models2011/spltool/;https://gsd.uwaterloo.ca/sites/default/files/2006-lau-domain-analysis-of-e-commerce-systems-using-feature-based-model-templates.pdf;feature_models/original/e_commerce/e_shop/Lau2006.xml;e_commerce/e_shop/Lau2006;173.0;103.0;1.0;0;0;0;0;13;2.45714285714286;0;0;289;577;1;288;0.500866551126516;0;0;172;1;50;0;0.710982658959538;0;123;15;0;0
FinancialServices01;Nieke2018;True;2017-05-22;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-05-22.xml;finance/FinancialServices01/Nieke2018-2017-05-22;557.0;433.0;3.0;1001;3.36463536463536;1.79712746858169;0.910233393177738;7;4.48387096774194;88;3;4992;10406;1;4893;0.479723236594273;0;20;4875;1;29;0;0.947935368043088;1;528;3;4319;4126
FinancialServices01;Nieke2018;True;2017-09-28;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-09-28.xml;finance/FinancialServices01/Nieke2018-2017-09-28;704.0;551.0;4.0;1136;3.80369718309859;1.61363636363636;0.909090909090909;7;4.59477124183007;107;4;6545;15719;1;5905;0.416375087473758;0;30;7016;1;18;0;0.974431818181818;1;686;6;6313;5827
FinancialServices01;Nieke2018;True;2017-10-20;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-10-20.xml;finance/FinancialServices01/Nieke2018-2017-10-20;712.0;557.0;4.0;1142;3.85551663747811;1.60393258426966;0.907303370786517;7;4.58709677419355;108;5;6779;16191;1;6139;0.418689395343092;0;30;7256;1;19;0;0.973314606741573;3;693;6;6545;6178
FinancialServices01;Nieke2018;True;2017-11-20;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-11-20.xml;finance/FinancialServices01/Nieke2018-2017-11-20;711.0;556.0;4.0;1148;3.8493031358885;1.61462728551336;0.907172995780591;7;4.58064516129032;107;5;6867;16366;1;6228;0.419589392643285;0;30;7344;1;19;0;0.973277074542897;3;692;6;6634;6230
FinancialServices01;Nieke2018;True;2017-12-22;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-12-22.xml;finance/FinancialServices01/Nieke2018-2017-12-22;716.0;556.0;4.0;1148;3.85278745644599;1.60335195530726;0.903631284916201;7;4.46875;110;5;6861;16354;1;6219;0.419530390118625;0;30;7333;1;19;0;0.973463687150838;3;697;6;6618;6207
FinancialServices01;Nieke2018;True;2018-01-23;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-01-23.xml;finance/FinancialServices01/Nieke2018-2018-01-23;712.0;550.0;6.0;1028;4.07782101167315;1.4438202247191;0.898876404494382;7;4.38888888888889;111;5;6683;15998;1;6039;0.417739717464683;0;30;7163;1;18;0;0.974719101123596;3;694;6;6452;6073
FinancialServices01;Nieke2018;True;2018-02-20;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-02-20.xml;finance/FinancialServices01/Nieke2018-2018-02-20;759.0;580.0;6.0;1034;4.13152804642166;1.36231884057971;0.843214756258234;7;4.23463687150838;121;9;6792;16356;1;6124;0.415260454878944;0;30;7330;1;18;0;0.976284584980237;3;741;13;6572;6167
FinancialServices01;Nieke2018;True;2018-03-26;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-03-26.xml;finance/FinancialServices01/Nieke2018-2018-03-26;771.0;588.0;7.0;1080;4.24444444444444;1.40077821011673;0.891050583657588;7;4.20765027322404;127;5;7112;17010;1;6438;0.418106995884774;0;40;7639;1;25;3;0.963683527885863;4;743;7;6869;6322
FinancialServices01;Nieke2018;True;2018-04-23;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-04-23.xml;finance/FinancialServices01/Nieke2018-2018-04-23;774.0;591.0;7.0;1079;4.24559777571826;1.39405684754522;0.885012919896641;7;4.22404371584699;126;5;7134;17071;1;6459;0.417901704645305;0;32;7676;1;23;4;0.965116279069767;3;747;14;6903;6296
FinancialServices01;Nieke2018;True;2018-05-09;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-05-09.xml;finance/FinancialServices01/Nieke2018-2018-05-09;771.0;587.0;7.0;1080;4.30555555555556;1.40077821011673;0.898832684824903;7;4.18478260869565;125;6;7238;17365;1;6477;0.416815433342931;0;32;7777;1;22;0;0.971465629053178;3;749;14;7007;6289
bank;AlHajjaji2019;False;;finance;FeatureIDE;xml;2019;[];True;https://wwwiti.cs.uni-magdeburg.de/iti_db/research/spl-testing/;https://doi.org/10.1007/s10270-016-0569-2;feature_models/original/finance/bank/AlHajjaji2019.xml;finance/bank/AlHajjaji2019;176.0;148.0;3.0;4;2;0.0227272727272727;0.0284090909090909;6;6.25;8;6;280;595;1;265;0.470588235294118;0;0;268;1;17;0;0.903409090909091;0;159;32;93;70
decisional;Mendonca2009;False;;finance;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/finance/decisional/Mendonca2009.xml;finance/decisional/Mendonca2009;142.0;127.0;12.0;88;2;0.619718309859155;0.676056338028169;4;9.4;10;4;286;686;1;271;0.416909620991254;0;0;3871;1;13;0;0.908450704225352;0;129;31;3730;3636
decisionmaking;AlHajjaji2019;False;;finance;FeatureIDE;xml;2019;[];True;https://wwwiti.cs.uni-magdeburg.de/iti_db/research/spl-testing/;https://doi.org/10.1007/s10270-016-0569-2;feature_models/original/finance/decisionmaking/AlHajjaji2019.xml;finance/decisionmaking/AlHajjaji2019;366.0;344.0;13.0;192;4.88020833333333;0.524590163934426;0.934426229508197;4;16.5909090909091;10;9;627;2130;1;416;0.294366197183099;0;7;12667;1;21;0;0.942622950819672;0;345;?;12302;12035
Tankwar;Schulze2012;False;;games;FeatureIDE;xml;2012;[];True;https://github.com/FeatureIDE/FeatureIDE;https://doi.org/10.1145/.-2110147.2110156;feature_models/original/games/Tankwar/Schulze2012.xml;games/Tankwar/Schulze2012;144.0;131.0;10.0;0;0;0;0;4;11;9;1;769;1648;1;758;0.466626213592233;0;0;982;1;8;0;0.944444444444444;0;136;19;839;738
pc-richmond;Sprey2020;False;;hardware;FeatureIDE;xml;2019;['Manual'];True;https://github.com/Subaro/SMT-Based-Variability-Analyses-for-FeatureIDE;https://doi.org/10.1145/3377024.3377036;feature_models/original/hardware/pc-richmond/Sprey2020.xml;hardware/pc-richmond/Sprey2020;364.0;275.0;23.0;12;11.3333333333333;0.032967032967033;0.241758241758242;5;4.07865168539326;82;0;1314;3183;1;1200;0.412818096135721;0;0;1646;1;9;0;0.975274725274725;0;355;21;1283;1085
