Name;Origin;PartOfHistory;Version;Domain;Format;Extension;Year;Keywords;Hierarchy;Source;Publication;Path;DescribingPath;NumberOfFeatures;NumberOfLeafFeatures;NumberOfTopFeatures;Number_Constraints;AverageConstraintSize;CtcDensity;FeaturesInConstraintsDensity;TreeDepth;AverageNumberOfChildren;NumberOfAlternatives;NumberOfOrs;NumberOfClauses;NumberOfLiterals;NumberOfUnitClauses;NumberOfTwoClauses;ClauseDensity;NumberOfTautologies;NumberOfRedundantConstraints;ConnectivityDensity;Void;Number_CORE;Number_Dead;RatioOptionalFeatures;NumberOfFalseOptionalFeatures;NumberOfOptionalFeatures;NumberOfValidConfigurationsLog;SimpleCyclomaticComplexity;IndependentCyclomaticComplexity
automotive01;Kowal2016;False;;automotive;FeatureIDE;xml;2016;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/FeatureIDE/FeatureIDE;https://doi.org/10.1145/3093335.2993248;feature_models/original/automotive/automotive01/Kowal2016.xml;automotive/automotive01/Kowal2016;2513.0;1805.0;6.0;2833.0;2.0;1.12733784321528;0.509351372861122;13.0;3.54802259887006;374.0;40.0;10311.0;21765.0;1;9896;0.473742246726396;0;869;9618;1;100;195;0.882610425785913;90;2218;211;7106;6185
automotive2;Knüppel2017;True;2_1;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_1.xml;automotive/automotive2/Knüppel2017-2_1;14010.0;12615.0;3.0;666.0;2.1021021021021;0.0475374732334047;0.0574589578872234;11.0;10.04229390681;1010.0;106.0;237706.0;485470.0;1;236570;0.489640966486086;0;69;241821;1;1394;8;0.899928622412562;23;12608;1261;?;?
automotive2;Knüppel2017;True;2_2;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_2.xml;automotive/automotive2/Knüppel2017-2_2;17742.0;16039.0;3.0;914.0;2.07439824945295;0.0515161763048134;0.064930672979371;11.0;10.4174985320023;1198.0;108.0;342935.0;698969.0;1;341607;0.490629770419003;0;67;347302;1;1593;9;0.909705782888062;28;16140;1457;?;?
automotive2;Knüppel2017;True;2_3;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_3.xml;automotive/automotive2/Knüppel2017-2_3;18434.0;16660.0;3.0;1300.0;2.25692307692308;0.0705218617771509;0.0773028100249539;11.0;10.3906426155581;1232.0;109.0;347557.0;708690.0;1;346172;0.490421764099959;0;71;352498;1;1760;10;0.90398177281111;31;16664;1515;?;?
automotive2;Knüppel2017;True;2_4;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_4.xml;automotive/automotive2/Knüppel2017-2_4;18616.0;16828.0;3.0;1369.0;2.30679327976625;0.0735388912763214;0.0806295659647615;11.0;10.4110738255034;1232.0;117.0;350149.0;714004.0;1;348728;0.49040201455454;0;80;354753;1;1777;10;0.904007305543618;29;16829;1535;?;?
erp_system;Pereira2016;False;;business;SXFM;xml;2016;[];True;https://wwwiti.cs.uni-magdeburg.de/~jualves/PROFilE/;https://doi.org/10.1145/2993236.2993249;feature_models/original/business/erp_system/Pereira2016.xml;business/erp_system/Pereira2016;1920.0;1689.0;39.0;59044.0;2.0;30.7520833333333;0.7609375;4.0;8.30735930735931;0.0;103.0;61362.0;123910.0;1;61258;0.495214268420628;0;57227;74103;1;1;0;0.999479166666667;0;1919;398;?;?
multicloud;GonzálezRojas2019;False;;cloud;SXFM;xml;2019;[];True;https://github.com/governit/MultiCloud;https://doi.org/10.1007/978-3-030-33246-4_45;feature_models/original/cloud/multicloud/GonzálezRojas2019.xml;cloud/multicloud/GonzálezRojas2019;107.0;72.0;1.0;14.0;2.21428571428571;0.130841121495327;0.168224299065421;7.0;3.02857142857143;5.0;20.0;158.0;373.0;1;129;0.423592493297587;0;3;234;1;3;0;0.97196261682243;0;104;21;128;91
berkeleydb;Hierons2020;False;;database;SXFM;xml;2020;[];True;https://drive.google.com/drive/folders/1xumU6qxBesloq69jOPMbprOaiaOKDq82;https://doi.org/10.1145/3361146;feature_models/original/database/berkeleydb/Hierons2020.xml;database/berkeleydb/Hierons2020;117.0;103.0;8.0;282.0;2.0;2.41025641025641;0.829059829059829;6.0;8.28571428571429;2.0;1.0;417.0;895.0;1;413;0.465921787709497;0;134;2094;1;14;6;0.829059829059829;20;97;2;1978;1918
cnn-architecture;Ghamizi2019;False;full;deep_learning;FeatureIDE;xml;2019;['Manual'];True;https://github.com/yamizi/FeatureNet/;https://doi.org/10.1145/3336294.3336306;feature_models/original/deep_learning/cnn-architecture/Ghamizi2019-full.xml;deep_learning/cnn-architecture/Ghamizi2019-full;6867.0;4853.0;1.0;9.0;2.0;0.00131061598951507;0.00145623998835;12.0;3.40913604766634;1250.0;0.0;17431.0;38211.0;1;16180;0.456177540498809;0;0;14775;1;1;0;0.999854376001165;0;6866;631;7909;6209
cnn-architecture;Ghamizi2019;False;light;deep_learning;FeatureIDE;xml;2019;['Manual'];True;https://github.com/yamizi/FeatureNet/;https://doi.org/10.1145/3336294.3336306;feature_models/original/deep_learning/cnn-architecture/Ghamizi2019-light.xml;deep_learning/cnn-architecture/Ghamizi2019-light;3296.0;2287.0;1.0;76.0;2.0;0.0230582524271845;0.0297330097087379;11.0;3.26560951437066;752.0;0.0;8004.0;17741.0;1;7251;0.451158333803055;0;0;6545;1;7;48;0.983313106796116;13;3241;186;3250;2477
