Name;Origin;PartOfHistory;Version;Domain;Format;Extension;Year;Keywords;Hierarchy;Source;Publication;Path;DescribingPath;#Features;#LeafFeatures;#TopFeatures;#Constraints;AverageConstraintSize;CtcDensity;FeaturesInConstraintsDensity;RatioOptionalFeatures;ConnectivityDensity;TreeDepth;AverageNumberOfChildren;Valid;#CORE;#Dead;NumberOfValidConfigurations
automotive01;Kowal2016;False;;automotive;FeatureIDE;xml;2016;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/FeatureIDE/FeatureIDE;https://doi.org/10.1145/3093335.2993248;feature_models/original/automotive/automotive01/Kowal2016.xml;automotive/automotive01/Kowal2016;2513.0;1805.0;6.0;2833.0;2.0;1.1273378432152803;0.5093513728611222;0.8826104257859132;9618.0;13.0;3.5480225988700567;True;100.0;100.0;5278539219821314670274577698978249614226329764180035258768650428139431316943478950493164460261562310215535134411549961261182654628944393235199702191846914047929088235490694238744799357173760000000000000000000000
automotive2;Knüppel2017;True;2_1;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_1.xml;automotive/automotive2/Knüppel2017-2_1;14010.0;12615.0;3.0;666.0;2.1021021021021022;0.0475374732334047;0.0574589578872234;0.8999286224125624;241821.0;11.0;10.042293906810036;True;1394.0;1394.0;4708174165077472932361825454061708418733765087022208250272164100030554868873304582522348781835755186734487433063464222074577923155685882877508048638089902311338718865582559946677751586754777713334060627028885002057273975933690887272089221240646175679466018558742160816405158846938079217880880886653486755472935055305079364446078388009117784939058417059164714258462885762670734753331762602688405876617014387437776067911054120549018481316595285523592575636468205907966397149428087723070244193772040937344369205979602189017065473049138980782127086519681226091784500990194989715462866442266415761977135898593311700480169992948188186987550499175177229368698373202401381210699935359280726229102128628613419608443987923517952427899419684803803420715706445826754107884579289213477531017359625630709941195522141847207503381109172056392149658496348197676849697103437678312743617678503611116711621161390384399307774876990788368247227256891960256114576012912403722979233374603732782000868735341252768220975114269679711310746452020131460380202796875971565633402437477566837578381432082025297651000372955680927143332278050578775823540481794631873296564865893698614065205970961922890137600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
automotive2;Knüppel2017;True;2_2;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_2.xml;automotive/automotive2/Knüppel2017-2_2;17742.0;16039.0;3.0;914.0;2.0743982494529543;0.0515161763048134;0.0649306729793709;0.9097057828880624;347302.0;11.0;10.417498532002348;True;1593.0;1593.0;51833978358399315552265724961086309964577182691265992587274449678280102418540023172486524416529148737531548207973639905155559717835386339158276130886255950317476974259553954328502655711251415527735718226633787962873134123528713472828440211012863199932553598506700090703132377315444503330421181647334930492367248560365491480523890784825739568168709756151572305358103964030313635259742300447757250542262930555785177540614269830173221926032719543411470527888808632518874937362824188138341888074589829842756917608379897763729305576904920443865503123845731343884211159789088969366124575328717070974352311199744304740029893503032258371588166006112686876499358860932647041759537940358541454441060745253667467308393947331904848062804896948839937209333660353903157527291892775435465373017288814298564717680657322273153656250829631148878135660066008066084641890550900090403211132121207426988194918087245361024381302157487153469654130094969292755799880777461365369058728113222411591911490198005144667783132148781641206554199377588143836647066737944494843818031381643634210569818760184995892412892099826915961105975196473784452391566848456789220301238870817803024591246614583895250555517798191426501252398899004757639683345860288431458819322995250838889179920770363504845857405391925640026937025611015105713866230016176108753689715993575285850341354870585235464106036687199555389964941917352482779955200000000000000000000000000000000000000000000000000000000000000000000
automotive2;Knüppel2017;True;2_3;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_3.xml;automotive/automotive2/Knüppel2017-2_3;18434.0;16660.0;3.0;1300.0;2.256923076923077;0.0705218617771509;0.0773028100249538;0.90398177281111;352498.0;11.0;10.39064261555806;True;1760.0;1760.0;124677158630771992388737274903144395143304422549798277719391799594870489500703808659688475076268317869912555470613713929691640224770762398944209874897359173593095443687267724538731733090205413699000686174205604563679183589457232377690322261624015915170461441706180314385536514600387403080135006568532484787892848161273952576287142165205358698838904811638160188176037581684016994400235203403150810331655621013615698057706035390621003047848595038795933456400788331456365967529610651255143488623704898957919830973667341723301400525015505222181389739538943143790564173292231368568131750013736577090793653032461175202437680317716690037543125535805521623396329598511365949217937067900081444299276723682155564210582803787756552891157103661541176527056881008826626873935623011608719636083069216786245975560305568984911737263764072946322197760823659018931644830372152412529684198481429399318459761507779604201409554741363566926104560622454354530984795216655543388162435296545326948397572981095199529113152135120321005126684828046862528093743491549098493785700223513151681610549543583465314724307138800048335461509086066265830184304871427222747411680566756497884349386349948662811406551078381193675364763349746367906768769525405619800608253806469704058788973381557729554492105622180807407879500664707776577380585585437688717627999998833916515533435990014542214210345181209905523489293641172993096743867182910301853630595072000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
automotive2;Knüppel2017;True;2_4;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_4.xml;automotive/automotive2/Knüppel2017-2_4;18616.0;16828.0;3.0;1369.0;2.3067932797662527;0.0735388912763214;0.0806295659647615;0.9040073055436184;354753.0;11.0;10.411073825503356;True;1777.0;1777.0;16505272636520770608049807336686263419262278171474896528902674080188226535986513386206222739154199990312304316432375708419908334951120777840761446056501033491673756322502123336090943486436039243372030766943458602037261070847529674534356018156008670682187009867114669183165589812678347677020009178324343716516097209109845184348679968274326123049227527790019157116786715333025963056661497445641173800199765222163167371496529076598275345593840432679060593082091562556148743367163011059914376453848874833624216454940443543476903147239713725910883379897186772787280371367887760273478656423910102759489682512679566900002943975655597096674268679680101882972677272515371297444691753104874195657464993976495326679318657622295700861777088118982149971100416087768578981508055766733740078413795875538473667538095783126142950285621270589214044781390019682483886583359849938540211221775670172765581722321182214883760887169041797021188330713322356432125673511102447057280896884295376155649470685335338495258057322025865111781429202794739966258303407257483764514048109066413495739887120721093956731137104071984616616093530304438776638066291197761951034921410607293591331155786344517409313802138987056145557947322022252231548896287559556403966183750725000574198535237943080891660398515976002019199247649442832823641555125736303883310186456855445612857146873733447167431344738817867253190162116602107467483579427839512688474377395370679756390400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
erp_system;Pereira2016;False;;business;SXFM;xml;2016;[];True;https://wwwiti.cs.uni-magdeburg.de/~jualves/PROFilE/;https://doi.org/10.1145/2993236.2993249;feature_models/original/business/erp_system/Pereira2016.xml;business/erp_system/Pereira2016;1920.0;1689.0;39.0;59044.0;2.0;30.75208333333333;0.7609375;0.9994791666666668;74103.0;4.0;8.307359307359308;True;1.0;1.0;19596803153301043673067768229947006969139168466363073081503867409549759481825694563604368724049453565021854187853899689733643289257142233170046686813924719457794516684058550239199999885593462706481367003238631075709591769837833070006370252784634973794817093595110166815702153110295525992519910676434422920331824150478187187653457159323364147851026726121103054831245215703398123133396305398097510399
multicloud;GonzálezRojas2019;False;;cloud;SXFM;xml;2019;[];True;https://github.com/governit/MultiCloud;https://doi.org/10.1007/978-3-030-33246-4_45;feature_models/original/cloud/multicloud/GonzálezRojas2019.xml;cloud/multicloud/GonzálezRojas2019;;;;;;;;;;;;;;;
berkeleydb;Hierons2020;False;;database;SXFM;xml;2020;[];True;https://drive.google.com/drive/folders/1xumU6qxBesloq69jOPMbprOaiaOKDq82;https://doi.org/10.1145/3361146;feature_models/original/database/berkeleydb/Hierons2020.xml;database/berkeleydb/Hierons2020;117.0;103.0;8.0;282.0;2.0;2.41025641025641;0.8290598290598291;0.8290598290598291;2094.0;6.0;8.285714285714286;True;14.0;14.0;32
cnn-architecture;Ghamizi2019;False;full;deep_learning;FeatureIDE;xml;2019;['Manual'];True;https://github.com/yamizi/FeatureNet/;https://doi.org/10.1145/3336294.3336306;feature_models/original/deep_learning/cnn-architecture/Ghamizi2019-full.xml;deep_learning/cnn-architecture/Ghamizi2019-full;6867.0;4853.0;1.0;9.0;2.0;0.001310615989515;0.00145623998835;0.999854376001165;14775.0;12.0;3.4091360476663355;True;1.0;1.0;2816151144656393128149077739187400282237641810760309715894482484212570731400866944283446903711931222592632284888528381700895982109493808009986235266455017264788636403819251753557912348164281759269582613377662016152269854011512574563295008014635991890583728517764248718730609603545683337639317619644574005853733434208185105778739013935433224273926478445433314122096287042945032482772906171171905410558861821872351527532021153953241531098193770108109587314591695518358421764797059426152797066301780856237323580363123871854105871766341689163988557042971508968138121545061514759005472530024608432651221788063911660473396746909246804994
cnn-architecture;Ghamizi2019;False;light;deep_learning;FeatureIDE;xml;2019;['Manual'];True;https://github.com/yamizi/FeatureNet/;https://doi.org/10.1145/3336294.3336306;feature_models/original/deep_learning/cnn-architecture/Ghamizi2019-light.xml;deep_learning/cnn-architecture/Ghamizi2019-light;3296.0;2287.0;1.0;76.0;2.0;0.0230582524271844;0.0297330097087378;0.9833131067961164;6545.0;11.0;3.265609514370664;True;7.0;7.0;129159302166564746081718464284085916177693270160810103087699803380871589886086723095971778037822348779776536163322884713058892365770428362604569630320699724729499375452124863193065867297
