Name;Origin;PartOfHistory;Version;Domain;Format;Extension;Year;Keywords;Hierarchy;Source;Publication;Path
automotive01;Kowal2016;False;;automotive;FeatureIDE;xml;2016;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/FeatureIDE/FeatureIDE;https://doi.org/10.1145/3093335.2993248;feature_models/original/automotive/automotive01/Kowal2016.xml
automotive2;Knüppel2017;True;2_1;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_1.xml
automotive2;Knüppel2017;True;2_2;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_2.xml
automotive2;Knüppel2017;True;2_3;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_3.xml
automotive2;Knüppel2017;True;2_4;automotive;FeatureIDE;xml;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017-2_4.xml
erp_system;Pereira2016;False;;business;SXFM;xml;2016;[];True;https://wwwiti.cs.uni-magdeburg.de/~jualves/PROFilE/;https://doi.org/10.1145/2993236.2993249;feature_models/original/business/erp_system/Pereira2016.xml
multicloud;GonzálezRojas2019;False;;cloud;SXFM;xml;2019;[];True;https://github.com/governit/MultiCloud;https://doi.org/10.1007/978-3-030-33246-4_45;feature_models/original/cloud/multicloud/GonzálezRojas2019.xml
berkeleydb;Hierons2020;False;;database;SXFM;xml;2020;[];True;https://drive.google.com/drive/folders/1xumU6qxBesloq69jOPMbprOaiaOKDq82;https://doi.org/10.1145/3361146;feature_models/original/database/berkeleydb/Hierons2020.xml
cnn-architecture;Ghamizi2019;False;full;deep_learning;FeatureIDE;xml;2019;['Manual'];True;https://github.com/yamizi/FeatureNet/;https://doi.org/10.1145/3336294.3336306;feature_models/original/deep_learning/cnn-architecture/Ghamizi2019-full.xml
cnn-architecture;Ghamizi2019;False;light;deep_learning;FeatureIDE;xml;2019;['Manual'];True;https://github.com/yamizi/FeatureNet/;https://doi.org/10.1145/3336294.3336306;feature_models/original/deep_learning/cnn-architecture/Ghamizi2019-light.xml
e_agribusiness;Pereira2016;False;;e_commerce;SXFM;xml;2016;[];True;https://wwwiti.cs.uni-magdeburg.de/~jualves/PROFilE/;https://doi.org/10.1145/2993236.2993249;feature_models/original/e_commerce/e_agribusiness/Pereira2016.xml
e_shop;Lau2006;False;;e_commerce;SXFM;xml;2011;[];True;https://martinfjohansen.com/models2011/spltool/;https://gsd.uwaterloo.ca/sites/default/files/2006-lau-domain-analysis-of-e-commerce-systems-using-feature-based-model-templates.pdf;feature_models/original/e_commerce/e_shop/Lau2006.xml
FinancialServices01;Nieke2018;True;2017-05-22;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-05-22.xml
