Name;Origin;Domain;Format;Extension;Year;Keywords;Hierarchy;Versions;VersionRange;Variants;Source;Publication;Path;DescribingPath;NumberOfFeatures;NumberOfLeafFeatures;NumberOfTopFeatures;Number_Constraints;AverageConstraintSize;CtcDensity;FeaturesInConstraintsDensity;TreeDepth;AverageNumberOfChildren;NumberOfAlternatives;NumberOfOrs;NumberOfClauses;NumberOfLiterals;NumberOfUnitClauses;NumberOfTwoClauses;ClauseDensity;NumberOfTautologies;NumberOfRedundantConstraints;ConnectivityDensity;Void;Number_CORE;Number_Dead;RatioOptionalFeatures;NumberOfFalseOptionalFeatures;NumberOfOptionalFeatures;NumberOfValidConfigurationsLog;SimpleCyclomaticComplexity;IndependentCyclomaticComplexity
automotive01;Kowal2016;automotive;FeatureIDE;json;2016;['Obfuscated', 'Proprietary', 'Automatic'];True;0;;0;https://github.com/FeatureIDE/FeatureIDE;https://doi.org/10.1145/3093335.2993248;feature_models/original/automotive/automotive01/Kowal2016.json;automotive/automotive01/Kowal2016;2513.0;1805.0;6.0;2833.0;2.0;1.12733784321528;0.509351372861122;13.0;3.54802259887006;374.0;40.0;10311.0;21765.0;1;9896;0.473742246726396;0;869;9618;1;100;195;0.882610425785913;90;2218;211;7106;6185
automotive2;Knüppel2017;automotive;FeatureIDE;json;2017;['Obfuscated', 'Proprietary', 'Automatic'];True;4;2_1..2_4;0;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/automotive/automotive2/Knüppel2017.json;automotive/automotive2/Knüppel2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;
erp_system;Pereira2016;business;SXFM;json;2016;[];True;0;;0;https://wwwiti.cs.uni-magdeburg.de/~jualves/PROFilE/;https://doi.org/10.1145/2993236.2993249;feature_models/original/business/erp_system/Pereira2016.json;business/erp_system/Pereira2016;1920.0;1689.0;39.0;59044.0;2.0;30.7520833333333;0.7609375;4.0;8.30735930735931;0.0;103.0;61362.0;123910.0;1;61258;0.495214268420628;0;57227;74103;1;1;0;0.999479166666667;0;1919;398;?;?
multicloud;GonzálezRojas2019;cloud;SXFM;json;2019;[];True;0;;0;https://github.com/governit/MultiCloud;https://doi.org/10.1007/978-3-030-33246-4_45;feature_models/original/cloud/multicloud/GonzálezRojas2019.json;cloud/multicloud/GonzálezRojas2019;107.0;72.0;1.0;14.0;2.21428571428571;0.130841121495327;0.168224299065421;7.0;3.02857142857143;5.0;20.0;158.0;373.0;1;129;0.423592493297587;0;3;234;1;3;0;0.97196261682243;0;104;21;128;91
berkeleydb;Hierons2020;database;SXFM;json;2020;[];True;0;;0;https://drive.google.com/drive/folders/1xumU6qxBesloq69jOPMbprOaiaOKDq82;https://doi.org/10.1145/3361146;feature_models/original/database/berkeleydb/Hierons2020.json;database/berkeleydb/Hierons2020;117.0;103.0;8.0;282.0;2.0;2.41025641025641;0.829059829059829;6.0;8.28571428571429;2.0;1.0;417.0;895.0;1;413;0.465921787709497;0;134;2094;1;14;6;0.829059829059829;20;97;2;1978;1918
cnn-architecture;Ghamizi2019;deep_learning;FeatureIDE;json;2019;['Manual'];True;0;;2;https://github.com/yamizi/FeatureNet/;https://doi.org/10.1145/3336294.3336306;feature_models/original/deep_learning/cnn-architecture/Ghamizi2019.json;deep_learning/cnn-architecture/Ghamizi2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e_agribusiness;Pereira2016;e_commerce;SXFM;json;2016;[];True;0;;0;https://wwwiti.cs.uni-magdeburg.de/~jualves/PROFilE/;https://doi.org/10.1145/2993236.2993249;feature_models/original/e_commerce/e_agribusiness/Pereira2016.json;e_commerce/e_agribusiness/Pereira2016;2238.0;2008.0;14.0;0.0;0.0;0;0.0;5.0;9.72608695652174;0.0;125.0;2615.0;7013.0;1;2489;0.372878939113076;0;0;119100;1;1;0;0.999553172475424;0;2237;559;?;?
e_shop;Lau2006;e_commerce;SXFM;json;2011;[];True;0;;0;https://martinfjohansen.com/models2011/spltool/;https://gsd.uwaterloo.ca/sites/default/files/2006-lau-domain-analysis-of-e-commerce-systems-using-feature-based-model-templates.pdf;feature_models/original/e_commerce/e_shop/Lau2006.json;e_commerce/e_shop/Lau2006;173.0;103.0;1.0;0.0;0.0;0;0.0;13.0;2.45714285714286;0.0;0.0;289.0;577.0;1;288;0.500866551126516;0;0;172;1;50;0;0.710982658959538;0;123;15;0;0
FinancialServices01;Nieke2018;finance;FeatureIDE;json;2018;['ManualCreation'];True;10;2017-05-22..2018-05-09;0;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018.json;finance/FinancialServices01/Nieke2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bank;AlHajjaji2019;finance;FeatureIDE;json;2019;[];True;0;;0;https://wwwiti.cs.uni-magdeburg.de/iti_db/research/spl-testing/;https://doi.org/10.1007/s10270-016-0569-2;feature_models/original/finance/bank/AlHajjaji2019.json;finance/bank/AlHajjaji2019;176.0;148.0;3.0;4.0;2.0;0.0227272727272727;0.0284090909090909;6.0;6.25;8.0;6.0;280.0;595.0;1;265;0.470588235294118;0;0;268;1;17;0;0.903409090909091;0;159;32;93;70
decisional;Mendonca2009;finance;SXFM;json;2009;['Manual'];True;0;;2;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/finance/decisional/Mendonca2009.json;finance/decisional/Mendonca2009;142.0;127.0;12.0;88.0;2.0;0.619718309859155;0.676056338028169;4.0;9.4;10.0;4.0;286.0;686.0;1;271;0.416909620991254;0;0;3871;1;13;0;0.908450704225352;0;129;31;3730;3636
decisionmaking;AlHajjaji2019;finance;FeatureIDE;json;2019;[];True;0;;0;https://wwwiti.cs.uni-magdeburg.de/iti_db/research/spl-testing/;https://doi.org/10.1007/s10270-016-0569-2;feature_models/original/finance/decisionmaking/AlHajjaji2019.json;finance/decisionmaking/AlHajjaji2019;366.0;344.0;13.0;192.0;4.88020833333333;0.524590163934426;0.934426229508197;4.0;16.5909090909091;10.0;9.0;627.0;2130.0;1;416;0.294366197183099;0;7;12667;1;21;0;0.942622950819672;0;345;?;12302;12035
Tankwar;Schulze2012;games;FeatureIDE;json;2012;[];True;0;;0;https://github.com/FeatureIDE/FeatureIDE;https://doi.org/10.1145/.-2110147.2110156;feature_models/original/games/Tankwar/Schulze2012.json;games/Tankwar/Schulze2012;144.0;131.0;10.0;0.0;0.0;0;0.0;4.0;11.0;9.0;1.0;769.0;1648.0;1;758;0.466626213592233;0;0;982;1;8;0;0.944444444444444;0;136;19;839;738
pc-richmond;Sprey2020;hardware;FeatureIDE;json;2019;['Manual'];True;0;;0;https://github.com/Subaro/SMT-Based-Variability-Analyses-for-FeatureIDE;https://doi.org/10.1145/3377024.3377036;feature_models/original/hardware/pc-richmond/Sprey2020.json;hardware/pc-richmond/Sprey2020;364.0;275.0;23.0;12.0;11.3333333333333;0.032967032967033;0.241758241758242;5.0;4.07865168539326;82.0;0.0;1314.0;3183.0;1;1200;0.412818096135721;0;0;1646;1;9;0;0.975274725274725;0;355;21;1283;1085
printer;Mendonca2009;hardware;SXFM;json;2009;['Manual'];True;0;;2;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/hardware/printer/Mendonca2009.json;hardware/printer/Mendonca2009;172.0;136.0;13.0;0.0;0.0;0;0.0;4.0;4.75;9.0;18.0;309.0;711.0;1;281;0.434599156118143;0;0;472;1;49;0;0.715116279069768;0;123;28;301;234
routefinding;Mendonca2009;navigation;SXFM;json;2009;['Manual'];True;0;;0;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/navigation/routefinding/Mendonca2009.json;navigation/routefinding/Mendonca2009;103.0;56.0;1.0;2.0;17.0;0.0194174757281553;0.330097087378641;10.0;2.17021276595745;10.0;16.0;185.0;429.0;1;156;0.431235431235431;0;2;376;1;43;0;0.58252427184466;0;60;13;274;257
subseacontrolsystem;Mendonca2009;navigation;SXFM;json;2009;['Manual'];True;0;;0;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/navigation/subseacontrolsystem/Mendonca2009.json;navigation/subseacontrolsystem/Mendonca2009;145.0;94.0;6.0;13.0;2.0;0.0896551724137931;0.179310344827586;11.0;2.82352941176471;29.0;0.0;378.0;826.0;1;348;0.457627118644068;0;0;307;1;24;0;0.83448275862069;1;121;11;163;131
CVE;VarelaVaca2020;security;SXFM;json;2020;[];True;0;;1463;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020.json;security/CVE/VarelaVaca2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRSCS;Mendonca2009;security;SXFM;json;2009;['Manual'];True;0;;2;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/security/FRSCS/Mendonca2009.json;security/FRSCS/Mendonca2009;158.0;115.0;4.0;111.0;2.0;0.70253164556962;0.537974683544304;6.0;3.65116279069767;22.0;9.0;457.0;1000.0;1;425;0.457;0;13;456;1;31;0;0.80379746835443;3;127;15;299;259
Buildroot;Berger2013;systems_software;DIMACS;json;2013;['Automatic', 'KConfig', 'LVAT'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/Buildroot/Berger2013.json;systems_software/Buildroot/Berger2013;14911.0;14910.0;14910.0;45603.0;2.59708791088306;3.05834618737845;0.999128160418483;2.0;14910.0;0.0;0.0;60514.0;147686.0;6756;33261;0.409747707975028;?;?;82756;1;6756;0;0.546911675943934;6755;8155;?;?;?
