Name;Domain;Format;Publication;Keywords;Source;ConvertedFrom;Conversion_Tool;#Features;#LeafFeatures;#TopFeatures;#Constraints;CtcDensity;RatioOptionalFeatures;TreeDepth;Average#Children
Automotive1;automotive;.xml;;;;;;2513.0;1805.0;6.0;2833.0;1.1273378432152803;0.8826104257859132;13.0;3.5480225988700567
automotive2_1;automotive;.xml;;;;;;14010.0;12615.0;3.0;666.0;0.0475374732334047;0.8999286224125624;11.0;10.042293906810036
automotive2_2;automotive;.xml;;;;;;17742.0;16039.0;3.0;914.0;0.0515161763048134;0.9097057828880624;11.0;10.417498532002348
automotive2_3;automotive;.xml;;;;;;18434.0;16660.0;3.0;1300.0;0.0705218617771509;0.90398177281111;11.0;10.39064261555806
automotive2_4;automotive;.xml;;;;;;18616.0;16828.0;3.0;1369.0;0.0735388912763214;0.9040073055436184;11.0;10.411073825503356
ERP-System;business;.xml;;;;;;1920.0;1689.0;39.0;59044.0;30.75208333333333;0.9994791666666668;4.0;8.307359307359308
multi-cloud;cloud;.xml;;;;;;;;;;;;;
CVE-2002-2436;cve;.afm;;;;;;;;;;;;;
CVE-2002-2437;cve;.afm;;;;;;;;;;;;;
CVE-2003-0908;cve;.afm;;;;;;;;;;;;;
CVE-2003-1598;cve;.afm;;;;;;;;;;;;;
CVE-2003-1599;cve;.afm;;;;;;;;;;;;;
CVE-2004-0608;cve;.afm;;;;;;;;;;;;;
CVE-2004-0648;cve;.afm;;;;;;;;;;;;;
CVE-2004-0718;cve;.afm;;;;;;;;;;;;;
CVE-2004-0757;cve;.afm;;;;;;;;;;;;;
CVE-2004-0761;cve;.afm;;;;;;;;;;;;;
CVE-2004-0762;cve;.afm;;;;;;;;;;;;;
CVE-2004-0763;cve;.afm;;;;;;;;;;;;;
CVE-2004-0764;cve;.afm;;;;;;;;;;;;;
CVE-2004-0765;cve;.afm;;;;;;;;;;;;;
CVE-2004-0779;cve;.afm;;;;;;;;;;;;;
CVE-2004-0867;cve;.afm;;;;;;;;;;;;;
CVE-2004-0902;cve;.afm;;;;;;;;;;;;;
CVE-2004-0903;cve;.afm;;;;;;;;;;;;;
CVE-2004-0904;cve;.afm;;;;;;;;;;;;;
CVE-2004-0905;cve;.afm;;;;;;;;;;;;;
CVE-2004-0906;cve;.afm;;;;;;;;;;;;;
CVE-2004-0907;cve;.afm;;;;;;;;;;;;;
CVE-2004-0908;cve;.afm;;;;;;;;;;;;;
CVE-2004-0909;cve;.afm;;;;;;;;;;;;;
CVE-2004-1156;cve;.afm;;;;;;;;;;;;;
CVE-2004-1200;cve;.afm;;;;;;;;;;;;;
CVE-2004-1380;cve;.afm;;;;;;;;;;;;;
CVE-2004-1381;cve;.afm;;;;;;;;;;;;;
CVE-2004-1449;cve;.afm;;;;;;;;;;;;;
