Name;Domain;Format;Publication;Keywords;Source;ConvertedFrom;Conversion_Tool
Automotive1;automotive;.xml;;;;;
automotive2_1;automotive;.xml;;;;;
automotive2_2;automotive;.xml;;;;;
automotive2_3;automotive;.xml;;;;;
automotive2_4;automotive;.xml;;;;;
ERP-System;business;.xml;;;;;
multi-cloud;cloud;.xml;;;;;
CVE-2002-2436;cve;.afm;;;;;
CVE-2002-2437;cve;.afm;;;;;
CVE-2003-0908;cve;.afm;;;;;
CVE-2003-1598;cve;.afm;;;;;
CVE-2003-1599;cve;.afm;;;;;
CVE-2004-0608;cve;.afm;;;;;
CVE-2004-0648;cve;.afm;;;;;
CVE-2004-0718;cve;.afm;;;;;
CVE-2004-0757;cve;.afm;;;;;
CVE-2004-0761;cve;.afm;;;;;
CVE-2004-0762;cve;.afm;;;;;
CVE-2004-0763;cve;.afm;;;;;
CVE-2004-0764;cve;.afm;;;;;
CVE-2004-0765;cve;.afm;;;;;
CVE-2004-0779;cve;.afm;;;;;
CVE-2004-0867;cve;.afm;;;;;
CVE-2004-0902;cve;.afm;;;;;
CVE-2004-0903;cve;.afm;;;;;
CVE-2004-0904;cve;.afm;;;;;
CVE-2004-0905;cve;.afm;;;;;
CVE-2004-0906;cve;.afm;;;;;
CVE-2004-0907;cve;.afm;;;;;
CVE-2004-0908;cve;.afm;;;;;
CVE-2004-0909;cve;.afm;;;;;
CVE-2004-1156;cve;.afm;;;;;
CVE-2004-1200;cve;.afm;;;;;
CVE-2004-1380;cve;.afm;;;;;
CVE-2004-1381;cve;.afm;;;;;
CVE-2004-1449;cve;.afm;;;;;
CVE-2004-1559;cve;.afm;;;;;
CVE-2004-1584;cve;.afm;;;;;
CVE-2004-1639;cve;.afm;;;;;
CVE-2004-1753;cve;.afm;;;;;
CVE-2004-2225;cve;.afm;;;;;
CVE-2004-2227;cve;.afm;;;;;
CVE-2004-2228;cve;.afm;;;;;
CVE-2004-2549;cve;.afm;;;;;
CVE-2004-2657;cve;.afm;;;;;
CVE-2004-2702;cve;.afm;;;;;
CVE-2004-2768;cve;.afm;;;;;
CVE-2005-0141;cve;.afm;;;;;
CVE-2005-0142;cve;.afm;;;;;
CVE-2005-0143;cve;.afm;;;;;
CVE-2005-0144;cve;.afm;;;;;
CVE-2005-0146;cve;.afm;;;;;
CVE-2005-0147;cve;.afm;;;;;
CVE-2005-0233;cve;.afm;;;;;
CVE-2005-0255;cve;.afm;;;;;
CVE-2005-0399;cve;.afm;;;;;
CVE-2005-0401;cve;.afm;;;;;
CVE-2005-0578;cve;.afm;;;;;
